n,m,k,execution_time,routes_generated,routes_evaluated,final_capital,timeout
10,1,5,10.029689311981201,649,213,631.6,False
10,2,5,52.09364366531372,673,200,864.0,False
10,3,5,209.8553009033203,677,222,839.8,False
10,4,5,301.4639165401459,681,96,965.5999999999999,True
10,5,5,301.2672162055969,681,41,923.8,True
10,6,5,305.4917812347412,681,22,1000.5999999999999,True
10,8,5,317.11798214912415,681,7,925.8,True
10,10,5,323.00702595710754,681,3,913.8,True
15,1,5,52.08282423019409,1214,441,1082.8,False
15,2,5,285.61197233200073,1214,400,1196.0,False
15,3,5,300.48951506614685,1214,102,1296.0,True
15,4,5,304.7991940975189,1214,35,1361.8,True
15,5,5,314.7624759674072,1214,17,1321.8,True
15,6,5,335.1182336807251,1214,9,1293.8,True
15,8,5,374.3422648906708,1214,3,1300.6,True
15,10,5,376.435759305954,1214,1,1351.6,True
